uid_adresse;cle_interop;commune_insee;commune_nom;commune_deleguee_insee;commune_deleguee_nom;voie_nom;lieudit_complement_nom;numero;suffixe;position;x;y;long;lat;cad_parcelles;source;date_der_maj;commune_nom_bre;commune_deleguee_nom_bre;voie_nom_bre;lieudit_complement_bre;certification_commune
@a:8dc29005-659a-4369-aac0-acd34f0ee15b @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00001;35047;Bruz;;;Rue des Acacias;;1;;bâtiment;346486.97;6780392.5;-1.7454643349932766;48.02828204392352;350047000AS0562|350047000AS0671;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:ef808f0c-2ad0-4e93-83f9-670ec4c2821b @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00002;35047;Bruz;;;Rue des Acacias;;2;;bâtiment;346472.4;6780360.5;-1.7456337292388926;48.02798764386542;350047000AS0561|350047000AS0673;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:6d428f79-8340-4c47-97e3-2e3610973ced @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00003;35047;Bruz;;;Rue des Acacias;;3;;bâtiment;346487.44;6780385;-1.745452015740784;48.02821431455416;350047000AS0563;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:27cad8a5-c5a9-4137-91e9-766a4d684e8f @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00004;35047;Bruz;;;Rue des Acacias;;4;;bâtiment;346473.16;6780350;-1.7456154890272504;48.02789600428784;350047000AS0560;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:a16ae78f-0b16-4d6b-b09e-9a200954dcf9 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00005;35047;Bruz;;;Rue des Acacias;;5;;bâtiment;346488.06;6780376;-1.7454368964971918;48.02813614140455;350047000AS0564;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:5a57d489-4c03-4863-afd4-1ab6b27b4230 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00006;35047;Bruz;;;Rue des Acacias;;6;;bâtiment;346473.84;6780340.5;-1.7455981876703004;48.027807213140285;350047000AS0559;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:f1a90a0a-e764-4c59-8599-0bd5a7335394 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00007;35047;Bruz;;;Rue des Acacias;;7;;parcelle;346488.72;6780366;-1.7454201583291125;48.02804762884234;350047000AS0565;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:4e014fba-ab89-4894-894d-0f0f8e8fc756 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00008;35047;Bruz;;;Rue des Acacias;;8;;bâtiment;346474.53;6780331;-1.745581958484241;48.0277259382122;350047000AS0558;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:061489cf-948e-4086-b369-6c7e04b0c6b4 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00009;35047;Bruz;;;Rue des Acacias;;9;;parcelle;346489.4;6780356.5;-1.7454030067215056;48.02796161960886;350047000AS0566|350047000AS0704;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:5f4e9c02-8c08-4bcd-aa2c-3ef4fd02b51b @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00010;35047;Bruz;;;Rue des Acacias;;10;;bâtiment;346475.06;6780322;-1.7455674459816752;48.02764505549738;350047000AS0557;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:c79881eb-9cd2-48e3-b468-a5e133c4bbde @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00011;35047;Bruz;;;Rue des Acacias;;11;;bâtiment;346489.88;6780348;-1.745390046333779;48.02788588670223;350047000AS0567|350047000AS0705;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
