uid_adresse;cle_interop;commune_insee;commune_nom;commune_deleguee_insee;commune_deleguee_nom;voie_nom;lieudit_complement_nom;numero;suffixe;position;x;y;long;lat;cad_parcelles;source;date_der_maj;certification_commune
@a:fe09df05-3da5-4799-9e3a-0a5709657e4a @v:c082ad89-cf14-4944-8f6f-e1d0947b92c8 @c:3647a1f3-8909-4aee-b7a4-ed1a8598302f;35088_0010_00001;35088;Corps-Nuds;;;Rue de Chanteloup;;1;;bâtiment;357853.00;6774067.50;-1.5883112;47.9775042;350088000AB0245|350088000AB0248;Rennes Métropole;2023-11-15;1
@a:38cd1631-1dc4-41d7-b1df-0cda008e6140 @v:c082ad89-cf14-4944-8f6f-e1d0947b92c8 @c:3647a1f3-8909-4aee-b7a4-ed1a8598302f;35088_0010_00002;35088;Corps-Nuds;;;Rue de Chanteloup;;2;;bâtiment;357851.53;6774083.50;-1.5883435;47.9776486;350088000AB0141;Rennes Métropole;2021-03-15;1
@a:a8b622da-196d-4e13-bd8c-d28d9294df2a @v:c082ad89-cf14-4944-8f6f-e1d0947b92c8 @c:3647a1f3-8909-4aee-b7a4-ed1a8598302f;35088_0010_00003;35088;Corps-Nuds;;;Rue de Chanteloup;;3;;bâtiment;357839.40;6774066.00;-1.5884922;47.9774860;350088000AB0096;Rennes Métropole;2021-03-15;1
@a:108ab878-0ba7-4bc2-b647-6795cd1ad103 @v:c082ad89-cf14-4944-8f6f-e1d0947b92c8 @c:3647a1f3-8909-4aee-b7a4-ed1a8598302f;35088_0010_00005;35088;Corps-Nuds;;;Rue de Chanteloup;;5;;bâtiment;357831.60;6774065.50;-1.5885960;47.9774753;350088000AB0097;Rennes Métropole;2021-03-15;1
@a:4617fe6e-ff86-4e1f-9f10-5a418e056139 @v:c082ad89-cf14-4944-8f6f-e1d0947b92c8 @c:3647a1f3-8909-4aee-b7a4-ed1a8598302f;35088_0010_00005_bis;35088;Corps-Nuds;;;Rue de Chanteloup;;5;bis;bâtiment;357825.30;6774065.00;-1.5886797;47.9774666;350088000AB0574;Rennes Métropole;2021-03-15;1
@a:93cf7622-81fc-4bb9-9ac1-ce09064cc5f7 @v:c082ad89-cf14-4944-8f6f-e1d0947b92c8 @c:3647a1f3-8909-4aee-b7a4-ed1a8598302f;35088_0010_00006;35088;Corps-Nuds;;;Rue de Chanteloup;;6;;bâtiment;357815.30;6774085.50;-1.5888295;47.9776481;350088000AB0568;Rennes Métropole;2021-03-15;1
@a:413e1ad7-6226-4bb6-a1c6-ed6c8e7ebfa0 @v:c082ad89-cf14-4944-8f6f-e1d0947b92c8 @c:3647a1f3-8909-4aee-b7a4-ed1a8598302f;35088_0010_00007;35088;Corps-Nuds;;;Rue de Chanteloup;;7;;parcelle;357819.88;6774065.00;-1.5887527;47.9774654;350088000AB0594;Rennes Métropole;2021-03-15;1
@a:e4798302-8c90-4e72-a3b1-b47268b456da @v:c082ad89-cf14-4944-8f6f-e1d0947b92c8 @c:3647a1f3-8909-4aee-b7a4-ed1a8598302f;35088_0010_00008;35088;Corps-Nuds;;;Rue de Chanteloup;;8;;bâtiment;357794.22;6774081.00;-1.5891085;47.9775971;350088000AB0137|350088000AB0138;Rennes Métropole;2021-03-15;1
@a:2ab0b827-22f2-4e3b-8642-33bf8a0d182b @v:c082ad89-cf14-4944-8f6f-e1d0947b92c8 @c:3647a1f3-8909-4aee-b7a4-ed1a8598302f;35088_0010_00009;35088;Corps-Nuds;;;Rue de Chanteloup;;9;;parcelle;357796.90;6774064.00;-1.5890591;47.9774423;350088000AB0634;Rennes Métropole;2021-03-15;1
@a:09bcecd7-7f4f-4653-84d6-d2552c089b90 @v:c082ad89-cf14-4944-8f6f-e1d0947b92c8 @c:3647a1f3-8909-4aee-b7a4-ed1a8598302f;35088_0010_00010;35088;Corps-Nuds;;;Rue de Chanteloup;;10;;parcelle;357764.16;6774081.00;-1.5895106;47.9775806;350088000AB0135|350088000AB0136;Rennes Métropole;2021-03-15;1
